building_id,timestamp,meter_reading,anomaly,s_no
1147,2016-01-01 00:00:00,-0.9083900938091313,0,1
1147,2016-01-01 01:00:00,-0.9083900938091313,0,1
1147,2016-01-01 02:00:00,-0.7048533126870927,0,1
1147,2016-01-01 03:00:00,-0.7976946514445138,0,1
1147,2016-01-01 04:00:00,-0.9621860097246464,0,1
1147,2016-01-01 05:00:00,-0.7042125672866102,0,1
1147,2016-01-01 06:00:00,-0.7676964201687964,0,1
1147,2016-01-01 07:00:00,-0.9777507834113686,0,1
1147,2016-01-01 08:00:00,-0.626869257903361,0,1
1147,2016-01-01 09:00:00,-0.2107952251118802,0,1
1147,2016-01-01 10:00:00,-0.21527376848400304,0,1
1147,2016-01-01 11:00:00,-0.31048119312133116,0,1
1147,2016-01-01 12:00:00,-0.3283920293941953,0,1
1147,2016-01-01 13:00:00,-0.18219528718409095,0,1
1147,2016-01-01 14:00:00,-0.10908690443215607,0,1
1147,2016-01-01 15:00:00,0.5030251859663408,0,1
1147,2016-01-01 16:00:00,0.5225211996622738,0,1
1147,2016-01-01 17:00:00,0.742126674030789,0,1
1147,2016-01-01 18:00:00,0.9281297242458726,0,1
1147,2016-01-01 19:00:00,0.9222595619570768,0,1
1147,2016-01-01 20:00:00,0.8344907909534758,0,1
1147,2016-01-01 21:00:00,0.9967061681756444,0,1
1147,2016-01-01 22:00:00,0.6647633413537748,0,1
1147,2016-01-01 23:00:00,-0.28565564606825933,0,1
1147,2016-01-02 00:00:00,-0.4502504580328449,0,1
1147,2016-01-02 01:00:00,-0.6386896756560132,0,1
1147,2016-01-02 02:00:00,-0.671427760961919,0,1
1147,2016-01-02 03:00:00,-0.7033949494578693,0,1
1147,2016-01-02 04:00:00,-0.9833306079405709,0,1
1147,2016-01-02 05:00:00,-0.7031813676577086,0,1
1147,2016-01-02 06:00:00,-0.6886578052467704,0,1
1147,2016-01-02 07:00:00,-0.904669098384454,0,1
1147,2016-01-02 08:00:00,-0.7420031970525712,0,1
1147,2016-01-02 09:00:00,-0.6170678556053543,0,1
1147,2016-01-02 10:00:00,-0.5542714691424357,0,1
1147,2016-01-02 11:00:00,-0.5032421049821293,0,1
1147,2016-01-02 12:00:00,-0.11975598279331623,0,1
1147,2016-01-02 13:00:00,0.02710820254229085,0,1
1147,2016-01-02 14:00:00,-0.06004318357022009,0,1
1147,2016-01-02 15:00:00,0.519517705597512,0,1
1147,2016-01-02 16:00:00,0.6796606719149945,0,1
1147,2016-01-02 17:00:00,0.7531962182672507,0,1
1147,2016-01-02 18:00:00,1.0,0,1
1147,2016-01-02 19:00:00,0.9083867565935038,0,1
1147,2016-01-02 20:00:00,0.9604072737951816,0,1
1147,2016-01-02 21:00:00,0.9473320629665842,0,1
1147,2016-01-02 22:00:00,0.6883607930559217,0,1
1147,2016-01-02 23:00:00,0.10576303766715278,0,1
1147,2016-01-03 00:00:00,-0.30202135150558473,0,1
1147,2016-01-03 01:00:00,-0.5106807586158565,0,1
1147,2016-01-03 02:00:00,-0.6714678075494491,0,1
1147,2016-01-03 03:00:00,-0.6878368502024022,0,1
1147,2016-01-03 04:00:00,-0.8266583458757021,0,1
1147,2016-01-03 05:00:00,-0.8483035264357536,0,1
1147,2016-01-03 06:00:00,-0.6841325408558623,0,1
1147,2016-01-03 07:00:00,-0.6839189590557015,0,1
1147,2016-01-03 08:00:00,-0.9518973739450227,0,1
1147,2016-01-03 09:00:00,-0.6300529616120086,0,1
1147,2016-01-03 10:00:00,-0.42223787005549784,0,1
1147,2016-01-03 11:00:00,-0.5000383779797164,0,1
1147,2016-01-03 12:00:00,-0.45077773810199206,0,1
1147,2016-01-03 13:00:00,-0.4916519551077754,0,1
1147,2016-01-03 14:00:00,-0.37432212807566134,0,1
1147,2016-01-03 15:00:00,-0.40359952077583594,0,1
1147,2016-01-03 16:00:00,-0.1592085459417789,0,1
1147,2016-01-03 17:00:00,-0.27172277082339125,0,1
1147,2016-01-03 18:00:00,-0.3723898802273311,0,1
1147,2016-01-03 19:00:00,-0.41801295507106595,0,1
